window_id,true_label,true_name,pred_label,pred_name,confidence,confidence_raw,correct,target_state,threshold,decision
0,0,left,0,left,0.5095,0.797,1,right,0.5199,WAIT
1,0,left,0,left,0.5074,0.7434,1,right,0.5199,WAIT
2,0,left,0,left,0.5054,0.6846,1,right,0.5199,WAIT
3,0,left,1,right,0.5013,0.5473,0,right,0.5199,WAIT
4,0,left,1,right,0.5038,0.6339,0,right,0.5199,WAIT
5,0,left,0,left,0.5116,0.8422,1,right,0.5199,WAIT
6,0,left,1,right,0.5032,0.6126,0,right,0.5199,WAIT
7,0,left,0,left,0.505,0.6738,1,right,0.5199,WAIT
8,0,left,1,right,0.5016,0.5583,0,right,0.5199,WAIT
9,0,left,0,left,0.5058,0.6963,1,right,0.5199,WAIT
10,0,left,1,right,0.504,0.6406,0,right,0.5199,WAIT
11,0,left,0,left,0.5055,0.6873,1,right,0.5199,WAIT
12,0,left,0,left,0.5114,0.8377,1,right,0.5199,WAIT
13,0,left,0,left,0.509,0.786,1,right,0.5199,WAIT
14,0,left,0,left,0.5064,0.7128,1,right,0.5199,WAIT
15,0,left,0,left,0.5057,0.6944,1,right,0.5199,WAIT
16,0,left,0,left,0.506,0.7024,1,right,0.5199,WAIT
17,0,left,1,right,0.501,0.5368,0,right,0.5199,WAIT
18,0,left,0,left,0.5058,0.696,1,right,0.5199,WAIT
19,0,left,1,right,0.5018,0.5654,0,right,0.5199,WAIT
20,0,left,0,left,0.5062,0.7082,1,right,0.5199,WAIT
21,0,left,1,right,0.5007,0.5263,0,right,0.5199,WAIT
22,0,left,0,left,0.5095,0.7969,1,right,0.5199,WAIT
23,0,left,1,right,0.5005,0.5181,0,right,0.5199,WAIT
24,0,left,1,right,0.5035,0.624,0,right,0.5199,WAIT
25,0,left,0,left,0.5093,0.7914,1,right,0.5199,WAIT
26,0,left,0,left,0.505,0.6741,1,right,0.5199,WAIT
27,0,left,0,left,0.5108,0.8247,1,right,0.5199,WAIT
28,0,left,1,right,0.5005,0.5189,0,right,0.5199,WAIT
29,0,left,1,right,0.5009,0.5327,0,right,0.5199,WAIT
30,0,left,0,left,0.5058,0.6977,1,right,0.5199,WAIT
31,0,left,1,right,0.5008,0.5283,0,right,0.5199,WAIT
32,0,left,0,left,0.5108,0.825,1,right,0.5199,WAIT
33,0,left,0,left,0.5062,0.7074,1,right,0.5199,WAIT
34,0,left,0,left,0.5043,0.6496,1,right,0.5199,WAIT
35,0,left,0,left,0.5066,0.7188,1,right,0.5199,WAIT
36,0,left,1,right,0.5018,0.5654,0,right,0.5199,WAIT
37,0,left,0,left,0.5066,0.7184,1,right,0.5199,WAIT
38,0,left,0,left,0.5047,0.6631,1,right,0.5199,WAIT
39,0,left,0,left,0.507,0.7317,1,right,0.5199,WAIT
40,0,left,1,right,0.5033,0.6184,0,right,0.5199,WAIT
41,0,left,0,left,0.5065,0.7144,1,right,0.5199,WAIT
42,0,left,0,left,0.5039,0.6368,1,right,0.5199,WAIT
43,0,left,1,right,0.5029,0.604,0,right,0.5199,WAIT
44,0,left,0,left,0.5039,0.6384,1,right,0.5199,WAIT
45,0,left,0,left,0.504,0.6412,1,right,0.5199,WAIT
46,0,left,1,right,0.5001,0.5035,0,right,0.5199,WAIT
47,0,left,1,right,0.5022,0.5783,0,right,0.5199,WAIT
48,0,left,0,left,0.5048,0.6671,1,right,0.5199,WAIT
49,0,left,1,right,0.5025,0.5895,0,right,0.5199,WAIT
50,0,left,0,left,0.5052,0.6809,1,right,0.5199,WAIT
51,0,left,0,left,0.5037,0.6326,1,right,0.5199,WAIT
52,0,left,1,right,0.5001,0.5044,0,right,0.5199,WAIT
53,0,left,0,left,0.5059,0.6996,1,right,0.5199,WAIT
54,0,left,1,right,0.5005,0.5185,0,right,0.5199,WAIT
55,0,left,0,left,0.5054,0.6857,1,right,0.5199,WAIT
56,0,left,0,left,0.5069,0.7273,1,right,0.5199,WAIT
57,0,left,0,left,0.5036,0.6284,1,right,0.5199,WAIT
58,0,left,1,right,0.5044,0.6518,0,right,0.5199,WAIT
59,0,left,0,left,0.5052,0.6813,1,right,0.5199,WAIT
60,0,left,1,right,0.5026,0.5936,0,right,0.5199,WAIT
61,0,left,0,left,0.5054,0.6857,1,right,0.5199,WAIT
62,0,left,0,left,0.5052,0.6826,1,right,0.5199,WAIT
63,0,left,0,left,0.5041,0.6439,1,right,0.5199,WAIT
64,0,left,1,right,0.5016,0.5574,0,right,0.5199,WAIT
65,0,left,1,right,0.5001,0.5052,0,right,0.5199,WAIT
66,0,left,0,left,0.5046,0.658,1,right,0.5199,WAIT
67,0,left,0,left,0.5056,0.6919,1,right,0.5199,WAIT
68,0,left,0,left,0.5034,0.6208,1,right,0.5199,WAIT
69,0,left,1,right,0.503,0.6081,0,right,0.5199,WAIT
70,0,left,1,right,0.5016,0.5584,0,right,0.5199,WAIT
71,0,left,0,left,0.5062,0.7077,1,right,0.5199,WAIT
72,0,left,1,right,0.5016,0.5575,0,right,0.5199,WAIT
73,0,left,0,left,0.5065,0.7158,1,right,0.5199,WAIT
74,0,left,0,left,0.5076,0.7487,1,right,0.5199,WAIT
75,0,left,0,left,0.5031,0.6121,1,right,0.5199,WAIT
76,0,left,1,right,0.5023,0.5828,0,right,0.5199,WAIT
77,0,left,0,left,0.5043,0.6489,1,right,0.5199,WAIT
78,0,left,1,right,0.5004,0.5142,0,right,0.5199,WAIT
79,0,left,0,left,0.5047,0.6645,1,right,0.5199,WAIT
80,0,left,1,right,0.5009,0.532,0,right,0.5199,WAIT
81,0,left,1,right,0.5025,0.5902,0,right,0.5199,WAIT
82,0,left,0,left,0.5036,0.6268,1,right,0.5199,WAIT
83,0,left,0,left,0.503,0.6073,1,right,0.5199,WAIT
84,0,left,1,right,0.5004,0.5143,0,right,0.5199,WAIT
85,0,left,0,left,0.5024,0.5845,1,right,0.5199,WAIT
86,0,left,1,right,0.5015,0.5536,0,right,0.5199,WAIT
87,0,left,0,left,0.5024,0.5864,1,right,0.5199,WAIT
88,0,left,1,right,0.5007,0.5258,0,right,0.5199,WAIT
89,0,left,1,right,0.5016,0.5573,0,right,0.5199,WAIT
90,1,right,1,right,0.5225,0.9618,1,right,0.5199,STIMULATE
91,1,right,1,right,0.5317,0.9896,1,right,0.5199,STIMULATE
92,1,right,1,right,0.5203,0.9481,1,right,0.5199,STIMULATE
93,1,right,1,right,0.5179,0.9277,1,right,0.5199,WAIT
94,1,right,1,right,0.514,0.8851,1,right,0.5199,WAIT
95,1,right,0,left,0.5066,0.7186,0,right,0.5199,WAIT
96,1,right,1,right,0.5308,0.9875,1,right,0.5199,STIMULATE
97,1,right,1,right,0.5184,0.9332,1,right,0.5199,WAIT
98,1,right,1,right,0.5295,0.9843,1,right,0.5199,STIMULATE
99,1,right,1,right,0.5262,0.9747,1,right,0.5199,STIMULATE
100,1,right,1,right,0.5221,0.9601,1,right,0.5199,STIMULATE
101,1,right,1,right,0.5204,0.9488,1,right,0.5199,STIMULATE
102,1,right,0,left,0.5007,0.5266,0,right,0.5199,WAIT
103,1,right,1,right,0.5332,0.9922,1,right,0.5199,STIMULATE
104,1,right,1,right,0.5184,0.9334,1,right,0.5199,WAIT
105,1,right,1,right,0.5176,0.9248,1,right,0.5199,WAIT
106,1,right,1,right,0.5237,0.9656,1,right,0.5199,STIMULATE
107,1,right,1,right,0.5169,0.9176,1,right,0.5199,WAIT
108,1,right,1,right,0.5275,0.9792,1,right,0.5199,STIMULATE
109,1,right,1,right,0.5209,0.9528,1,right,0.5199,STIMULATE
110,1,right,1,right,0.5227,0.9627,1,right,0.5199,STIMULATE
111,1,right,0,left,0.504,0.6407,0,right,0.5199,WAIT
112,1,right,1,right,0.5311,0.9883,1,right,0.5199,STIMULATE
113,1,right,1,right,0.5273,0.9786,1,right,0.5199,STIMULATE
114,1,right,1,right,0.5222,0.9607,1,right,0.5199,STIMULATE
115,1,right,0,left,0.5004,0.5148,0,right,0.5199,WAIT
116,1,right,1,right,0.5215,0.9574,1,right,0.5199,STIMULATE
117,1,right,1,right,0.5161,0.9089,1,right,0.5199,WAIT
118,1,right,1,right,0.5177,0.9257,1,right,0.5199,WAIT
119,1,right,1,right,0.5177,0.9262,1,right,0.5199,WAIT
120,1,right,1,right,0.5218,0.9588,1,right,0.5199,STIMULATE
121,1,right,1,right,0.5163,0.9106,1,right,0.5199,WAIT
122,1,right,1,right,0.5267,0.9763,1,right,0.5199,STIMULATE
123,1,right,0,left,0.5014,0.549,0,right,0.5199,WAIT
124,1,right,1,right,0.5231,0.9641,1,right,0.5199,STIMULATE
125,1,right,1,right,0.5217,0.9585,1,right,0.5199,STIMULATE
126,1,right,1,right,0.5169,0.9183,1,right,0.5199,WAIT
127,1,right,0,left,0.501,0.5363,0,right,0.5199,WAIT
128,1,right,1,right,0.5217,0.9581,1,right,0.5199,STIMULATE
129,1,right,1,right,0.5165,0.9122,1,right,0.5199,WAIT
130,1,right,1,right,0.5232,0.9643,1,right,0.5199,STIMULATE
131,1,right,1,right,0.518,0.9283,1,right,0.5199,WAIT
132,1,right,1,right,0.5248,0.9695,1,right,0.5199,STIMULATE
133,1,right,1,right,0.5208,0.9522,1,right,0.5199,STIMULATE
134,1,right,1,right,0.5205,0.9496,1,right,0.5199,STIMULATE
135,1,right,1,right,0.516,0.9078,1,right,0.5199,WAIT
136,1,right,0,left,0.5008,0.529,0,right,0.5199,WAIT
137,1,right,1,right,0.5185,0.934,1,right,0.5199,WAIT
138,1,right,0,left,0.5009,0.5336,0,right,0.5199,WAIT
139,1,right,1,right,0.5187,0.936,1,right,0.5199,WAIT
140,1,right,0,left,0.5023,0.5831,0,right,0.5199,WAIT
141,1,right,1,right,0.5159,0.9065,1,right,0.5199,WAIT
142,1,right,0,left,0.503,0.607,0,right,0.5199,WAIT
143,1,right,1,right,0.5226,0.9622,1,right,0.5199,STIMULATE
144,1,right,1,right,0.5228,0.9629,1,right,0.5199,STIMULATE
145,1,right,1,right,0.5256,0.9726,1,right,0.5199,STIMULATE
146,1,right,1,right,0.5235,0.965,1,right,0.5199,STIMULATE
147,1,right,1,right,0.5215,0.9566,1,right,0.5199,STIMULATE
148,1,right,1,right,0.5214,0.956,1,right,0.5199,STIMULATE
149,1,right,1,right,0.518,0.9288,1,right,0.5199,WAIT
150,1,right,1,right,0.5222,0.9604,1,right,0.5199,STIMULATE
151,1,right,1,right,0.5183,0.9325,1,right,0.5199,WAIT
152,1,right,1,right,0.5207,0.9512,1,right,0.5199,STIMULATE
153,1,right,1,right,0.5219,0.9593,1,right,0.5199,STIMULATE
154,1,right,1,right,0.5188,0.9369,1,right,0.5199,WAIT
155,1,right,1,right,0.5199,0.9448,1,right,0.5199,STIMULATE
156,1,right,1,right,0.5207,0.9516,1,right,0.5199,STIMULATE
157,1,right,1,right,0.5208,0.952,1,right,0.5199,STIMULATE
158,1,right,1,right,0.5187,0.9354,1,right,0.5199,WAIT
159,1,right,1,right,0.518,0.9286,1,right,0.5199,WAIT
160,1,right,1,right,0.5219,0.9594,1,right,0.5199,STIMULATE
161,1,right,1,right,0.5214,0.9563,1,right,0.5199,STIMULATE
162,1,right,1,right,0.517,0.9188,1,right,0.5199,WAIT
163,1,right,1,right,0.5205,0.9499,1,right,0.5199,STIMULATE
164,1,right,1,right,0.521,0.953,1,right,0.5199,STIMULATE
165,1,right,1,right,0.5201,0.9466,1,right,0.5199,STIMULATE
166,1,right,1,right,0.5192,0.9403,1,right,0.5199,WAIT
167,1,right,1,right,0.5163,0.9101,1,right,0.5199,WAIT
168,1,right,0,left,0.5003,0.5108,0,right,0.5199,WAIT
169,1,right,1,right,0.5164,0.9112,1,right,0.5199,WAIT
170,1,right,0,left,0.5007,0.5269,0,right,0.5199,WAIT
171,1,right,0,left,0.5015,0.5535,0,right,0.5199,WAIT
172,1,right,1,right,0.517,0.919,1,right,0.5199,WAIT
173,1,right,0,left,0.5015,0.5548,0,right,0.5199,WAIT
174,1,right,0,left,0.5012,0.5438,0,right,0.5199,WAIT
175,1,right,1,right,0.5144,0.8899,1,right,0.5199,WAIT
176,1,right,1,right,0.518,0.9285,1,right,0.5199,WAIT
177,1,right,1,right,0.5215,0.9568,1,right,0.5199,STIMULATE
178,1,right,1,right,0.5183,0.932,1,right,0.5199,WAIT
179,1,right,1,right,0.5207,0.9515,1,right,0.5199,STIMULATE
